subjectID,blockNumber,blockAgent,blockPlayer1,blockPlayer2,trialNumber,trialTopic,trialOnset,trialOffset,trialPlayerSelected,trialCorrectSelection,trialFeedbackOnset,trialFeedbackOffset,trialITIj,trialRT
50022,1,Mesa,Ashley,Breanne,1,FRIENDS,1285085.681,1285089.704,Ashley,Ashley,1285089.751,1285097.753,1,1.31335175
50022,1,Mesa,Ashley,Breanne,2,SHOPPING,1285098.799,1285102.812,Breanne,Breanne,1285102.847,1285110.849,0.5,2.416066542
50022,1,Mesa,Ashley,Breanne,3,SPORTS,1285111.388,1285115.396,Ashley,Ashley,1285115.418,1285123.42,1.5,1.548204208
50022,1,Mesa,Ashley,Breanne,4,FAMILY,1285124.956,1285128.964,Breanne,Breanne,1285128.992,1285136.993,1,2.177585542
50022,1,Mesa,Ashley,Breanne,5,FOOD,1285138.032,1285142.045,Ashley,Ashley,1285142.073,1285150.075,1.5,2.532802833
50022,1,Mesa,Ashley,Breanne,6,VACATIONS,1285151.62,1285155.634,Breanne,Breanne,1285155.662,1285163.663,1.5,1.882356416
50022,1,Mesa,Ashley,Breanne,7,BOOKS,1285165.192,1285169.195,NaN,NaN,1285169.207,1285177.208,1.5,NaN
50022,1,Mesa,Ashley,Breanne,8,SCHOOL,1285178.739,1285182.746,Ashley,Ashley,1285182.769,1285190.771,1,1.382961292
50022,1,Mesa,Ashley,Breanne,9,MOVIES,1285191.807,1285195.814,Breanne,Breanne,1285195.836,1285203.837,0.5,3.094813916
50022,1,Mesa,Ashley,Breanne,10,COMPUTERS,1285204.359,1285208.369,Ashley,Ashley,1285208.403,1285216.407,0.5,1.118224334
50022,1,Mesa,Ashley,Breanne,11,PARTIES,1285216.932,1285220.941,Breanne,Breanne,1285220.976,1285228.98,0.5,1.840858416
50022,1,Mesa,Ashley,Breanne,12,MUSIC,1285229.505,1285233.512,Ashley,Ashley,1285233.536,1285241.539,1.5,1.465155708
50022,1,Mesa,Ashley,Breanne,13,PETS,1285243.063,1285247.068,Ashley,Ashley,1285247.092,1285255.094,0.5,1.699789375
50022,1,Mesa,Ashley,Breanne,14,HOBBIES,1285255.617,1285259.623,Breanne,Breanne,1285259.645,1285267.647,1,2.083335416
50022,1,Mesa,Ashley,Breanne,15,TV,1285268.671,1285272.676,Ashley,Ashley,1285272.696,1285280.698,1,1.65049525
50022,2,Breanne,Mesa,Ashley,16,SPORTS,1285286.279,1285290.281,Ashley,Ashley,1285290.331,1285298.336,1.5,0.958020458
50022,2,Breanne,Mesa,Ashley,17,COMPUTERS,1285299.871,1285303.872,Ashley,Ashley,1285303.907,1285311.913,0.5,0.704853916
50022,2,Breanne,Mesa,Ashley,18,SCHOOL,1285312.442,1285316.444,Ashley,Ashley,1285316.467,1285324.472,1,1.169515917
50022,2,Breanne,Mesa,Ashley,19,BOOKS,1285325.502,1285329.504,Mesa,Mesa,1285329.543,1285337.548,1.5,1.055855584
50022,2,Breanne,Mesa,Ashley,20,PARTIES,1285339.088,1285343.092,Mesa,Mesa,1285343.125,1285351.131,0.5,1.107950666
50022,2,Breanne,Mesa,Ashley,21,HOBBIES,1285351.674,1285355.675,Mesa,Mesa,1285355.7,1285363.706,1,0.78271025
50022,2,Breanne,Mesa,Ashley,22,TV,1285364.732,1285368.733,Ashley,Ashley,1285368.759,1285376.764,1,1.413459666
50022,2,Breanne,Mesa,Ashley,23,VACATIONS,1285377.79,1285381.792,Mesa,Mesa,1285381.816,1285389.821,1.5,0.982860417
50022,2,Breanne,Mesa,Ashley,24,FOOD,1285391.349,1285395.35,Mesa,Mesa,1285395.389,1285403.394,1.5,2.481332667
50022,2,Breanne,Mesa,Ashley,25,FRIENDS,1285404.919,1285408.92,Mesa,Mesa,1285408.944,1285416.951,1,1.032470875
50022,2,Breanne,Mesa,Ashley,26,PETS,1285417.975,1285421.976,Mesa,Mesa,1285421.997,1285430.002,0.5,0.872306417
50022,2,Breanne,Mesa,Ashley,27,FAMILY,1285430.524,1285434.525,Mesa,Mesa,1285434.545,1285442.55,1,0.811598292
50022,2,Breanne,Mesa,Ashley,28,MUSIC,1285443.574,1285447.575,Mesa,Mesa,1285447.594,1285455.599,1.5,0.857135875
50022,2,Breanne,Mesa,Ashley,29,MOVIES,1285457.125,1285461.126,Ashley,Ashley,1285461.165,1285469.17,0.5,1.0129285
50022,2,Breanne,Mesa,Ashley,30,SHOPPING,1285469.695,1285473.696,Mesa,Mesa,1285473.721,1285481.726,0.5,0.605550416
50022,3,Ashley,Mesa,Breanne,31,BOOKS,1285508.373,1285512.374,Breanne,Breanne,1285512.398,1285520.403,1.5,0.760967833
50022,3,Ashley,Mesa,Breanne,32,FOOD,1285521.931,1285525.932,Breanne,Breanne,1285525.953,1285533.958,1.5,0.730378458
50022,3,Ashley,Mesa,Breanne,33,PARTIES,1285535.481,1285539.482,Mesa,Mesa,1285539.503,1285547.509,0.5,0.634505208
50022,3,Ashley,Mesa,Breanne,34,SCHOOL,1285548.034,1285552.035,Breanne,Breanne,1285552.056,1285560.062,1,1.332158583
50022,3,Ashley,Mesa,Breanne,35,MUSIC,1285561.089,1285565.09,Mesa,Mesa,1285565.111,1285573.117,1.5,1.576717291
50022,3,Ashley,Mesa,Breanne,36,COMPUTERS,1285574.644,1285578.646,Breanne,Breanne,1285578.666,1285586.672,0.5,1.451348041
50022,3,Ashley,Mesa,Breanne,37,FAMILY,1285587.194,1285591.195,Mesa,Mesa,1285591.216,1285599.222,1,1.20990775
50022,3,Ashley,Mesa,Breanne,38,SPORTS,1285600.245,1285604.246,Mesa,Mesa,1285604.267,1285612.272,1.5,0.847632125
50022,3,Ashley,Mesa,Breanne,39,FRIENDS,1285613.798,1285617.799,Breanne,Breanne,1285617.819,1285625.824,1,1.324370166
50022,3,Ashley,Mesa,Breanne,40,SHOPPING,1285626.849,1285630.85,Mesa,Mesa,1285630.87,1285638.875,0.5,0.954192084
50022,3,Ashley,Mesa,Breanne,41,VACATIONS,1285639.393,1285643.395,Breanne,Breanne,1285643.414,1285651.419,1.5,1.211649583
50022,3,Ashley,Mesa,Breanne,42,MOVIES,1285652.944,1285656.945,Breanne,Breanne,1285656.967,1285664.973,0.5,1.068735959
50022,3,Ashley,Mesa,Breanne,43,TV,1285665.496,1285669.497,Breanne,Breanne,1285669.519,1285677.525,1,1.229089958
50022,3,Ashley,Mesa,Breanne,44,HOBBIES,1285678.55,1285682.552,Breanne,Breanne,1285682.572,1285690.578,1,1.382294834
50022,3,Ashley,Mesa,Breanne,45,PETS,1285691.603,1285695.605,Breanne,Breanne,1285695.628,1285703.633,0.5,1.218478708
50022,4,Breanne,Mesa,Ashley,46,PETS,1285708.175,1285712.177,Ashley,Ashley,1285712.197,1285720.203,1,1.095704833
50022,4,Breanne,Mesa,Ashley,47,PETS,1285721.227,1285725.229,Mesa,Mesa,1285725.245,1285733.25,1.5,1.09655325
50022,4,Breanne,Mesa,Ashley,48,PETS,1285734.779,1285738.781,Ashley,Ashley,1285738.799,1285746.804,1.5,0.640281333
50022,4,Breanne,Mesa,Ashley,49,PETS,1285748.332,1285752.333,Mesa,Mesa,1285752.349,1285760.354,1,0.882289583
