thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,trial.rt,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,MRT,Cue.OnsetTime,Dly.OnsetTime,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,trial.cue_rt,trial.too_fast_rt,trial.too_slow_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,678,1,0,Thu Dec  4 13:34:04 2025,1,reward.low,5.003859124961309,0.2781589590013027,0.5,1.5,5.512278457987122,9.239867875003256,2,6.236702583031729,11.239967874949798,1.5,,,,,,,,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,0,Thu Dec  4 13:34:10 2025,2,loss.high,11.24054387502838,0.29942558298353106,0.5,,11.752390207955614,15.456433875020593,4,8.220269875018857,19.46062195894774,1.5,,,,,,,,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,0,Thu Dec  4 13:34:18 2025,3,reward.neut,19.461425291956402,0.25387308304198086,0.5,0.0,19.977111333049834,23.731371041969396,2,6.271154999965802,25.73231654195115,1.5,0.2771525416756049,,,,,,,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:34:55 2025,1,loss.low,9.378009167034179,0.2047287499299273,0.277,,9.66992625000421,13.12715933402069,6,14.128222667030059,70.089714083937,0,,5.0029609591001645,9.377329375012778,1,"Hit!
$0.00",0,11.128119125030935,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:35:09 2025,2,loss.low,23.38657900004182,0.22366483299992979,0.257,,23.64889775007032,27.20246366702486,4,12.078816000022925,82.16913145896979,0,,19.13178587506991,23.38621225010138,1,"Hit!
$0.00",0,25.193950959015638,0.2676021659281105,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:35:21 2025,3,loss.high,35.26109650009312,0.2327614170499146,0.277,-5.0,35.54348587500863,39.298296667053364,6,14.08800925000105,96.25758366694208,-5.0,,31.211039667017758,35.260657584061846,2,"Miss!
-$5.00",-5.0,37.300273875007406,,1.8962757910847974,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:35:35 2025,4,reward.high,49.50003804208245,0.19211175001692027,0.277,5.0,49.79019087506458,53.436000875080936,4,12.136857165955007,108.3950947090052,0.0,,45.29971991700586,49.49953400006052,1,"Hit!
+$5.00",0.0,51.43270695907995,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:35:47 2025,5,reward.high,61.798899375018664,0.24336925009265542,0.257,5.0,62.061771125067025,65.48986766708549,6,14.057002250105143,122.45259516697843,5.0,,57.43706041702535,61.79849512502551,1,"Hit!
+$5.00",5.0,63.478193500079215,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:36:01 2025,6,reward.low,75.95637887506746,0.23137462500017136,0.277,1.5,76.24731500004418,79.57738837506622,4,12.085921708028764,134.53910945891403,6.5,,71.49466262501664,75.95577104203403,1,"Hit!
+$1.50",6.5,77.57637845899444,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:36:14 2025,7,reward.neut,87.8945351250004,0.2204281670274213,0.277,,88.17658804205712,91.64878466702066,2,10.079868957982399,144.6195324169239,6.5,,83.58113679208327,87.89400091709103,2,"Miss!
$0.00",6.5,89.6521429590648,,1.400255083000912,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:36:24 2025,8,reward.neut,98.13626837509219,0.242845916072838,0.297,0.0,98.44018675002735,101.76066745910794,4,12.111532917013392,156.73157824994996,6.5,,93.6615097920876,98.13605075003579,1,"Hit!
$0.00",6.5,99.75297337502707,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:36:36 2025,9,reward.neut,109.86092045903206,0.21649900008924305,0.317,0.0,110.18717750010546,113.91080137505196,4,12.145310416002758,168.87727579195052,6.5,,105.77343445899896,109.86070445901714,1,"Hit!
$0.00",6.5,111.89854862506036,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:36:48 2025,10,reward.high,121.94388350006193,0.22880625003017485,0.237,5.0,122.18910275003873,125.95232200005557,6,14.037339875008911,182.91511129192077,11.5,,117.9192390840035,121.94355220906436,1,"Hit!
+$5.00",11.5,123.95353325002361,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:37:02 2025,11,loss.low,136.23182012501638,,0.237,-1.5,136.47820729203522,139.99812970904168,2,10.04501249990426,192.96061866695527,10.0,,131.95707295904867,136.23134837509133,0,"Miss!
-$1.50",10.0,138.00175541709177,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:37:12 2025,12,reward.low,146.28209100000095,0.22548745793756098,0.257,1.5,146.54176704201382,150.06819041701965,6,14.070561666041613,207.03173716692254,11.5,,142.00264425005298,146.2815277921036,1,"Hit!
+$1.50",11.5,148.0695881670108,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:37:26 2025,13,reward.neut,160.39852758403867,0.27588420803658664,0.297,,160.7083675840404,164.11498779209796,4,12.041732916957699,219.07403116696514,11.5,,156.07375625008717,160.3981412090361,2,"Miss!
$0.00",11.5,162.11954679200426,,2.304981166019762,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:37:38 2025,14,reward.high,172.57343695906457,,0.217,,172.8071711671073,176.1726970000891,2,10.057521499926224,229.13213583396282,11.5,,168.11608525004704,172.5730747920461,0,"Miss!
$0.00",11.5,174.16921845905017,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:37:48 2025,15,reward.low,182.29455508408137,,0.237,,182.53465141705237,186.21088770905044,6,14.0454418330919,243.17811241699383,11.5,,178.1741340000881,182.2940045420546,3,"Miss!
$0.00",11.5,184.21064620907418,,,0.015412375072414886,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:38:02 2025,16,reward.high,196.23204570903908,,0.197,,196.43796808400657,200.2331597090233,2,10.024782166001387,253.20348687493242,11.5,,192.22017912508454,196.23154420906212,0,"Miss!
$0.00",11.5,198.2322208750993,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:38:12 2025,17,reward.high,206.57354908401612,,0.217,,206.80685616703704,210.27785554202273,2,10.032693415996619,263.23671395890415,11.5,,202.24549070908688,206.57326862507034,3,"Miss!
$0.00",11.5,208.26551550009754,,,0.23782704194970794,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:38:22 2025,18,reward.low,216.3536040839972,,0.217,,216.58156554203015,220.31533550005406,4,12.048959207953885,275.286188500002,11.5,,212.27869387506507,216.35312533401884,3,"Miss!
$0.00",11.5,218.30305070907343,,,0.012710833060648685,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:38:34 2025,19,loss.high,228.39096837502439,0.22734991693869233,0.297,,228.69447645905893,232.42893250007182,6,14.112315458012745,289.39912495890167,11.5,,224.32828133401927,228.39037020900287,1,"Hit!
$0.00",11.5,230.4322193750413,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:38:48 2025,20,loss.neut,242.65338491706643,0.21618187497369945,0.277,,242.94377200002782,246.5520100001013,6,14.111835959018208,303.5114795420086,11.5,,238.44111070910003,242.6528367920546,1,"Hit!
$0.00",11.5,244.54079879203346,0.353663666988723,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:39:03 2025,21,loss.neut,256.9443455840228,0.20464891695883125,0.257,,257.2070873340126,260.62765045906417,4,12.082401624997146,315.5943013749784,11.5,,252.5533769170288,256.9441160840215,1,"Hit!
$0.00",11.5,258.6276572920615,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:39:15 2025,22,loss.neut,268.84440733410884,0.1911188750527799,0.237,,269.0985667500645,272.72328350006137,6,14.091480999952182,329.6861277919961,11.5,,264.63610475009773,268.84415658400394,1,"Hit!
$0.00",11.5,270.7194300420815,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
,,678,1,1,Thu Dec  4 13:39:29 2025,23,reward.neut,282.88635895901825,0.22905741701833904,0.317,0.0,283.2076926250011,286.8443472090876,4,12.124250708031468,341.81093458400574,11.5,,278.72814500005916,282.88583658402786,1,"Hit!
$0.00",11.5,284.84428604203276,,,,678,1,yes,no,no,0,2,2025-12-04_13h33.41.237,MID1.1,None,
