thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,trial.rt,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,MRT,Cue.OnsetTime,Dly.OnsetTime,trial.too_slow_rt,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,trial.too_fast_rt,trial.cue_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,4567,1,0,Fri Dec 12 13:08:28 2025,1,reward.low,5.009679333074018,0.30738508398644626,0.5,1.5,5.516485792002641,9.21327333303634,4,8.217158374958672,13.225699750008062,1.5,,,,,,,,,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,0,Fri Dec 12 13:08:36 2025,2,loss.low,13.226276500034146,0.31788391701411456,0.5,,13.732838500058278,17.424459833069704,4,8.19953241595067,21.42562666698359,1.5,,,,,,,,,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,0,Fri Dec 12 13:08:44 2025,3,reward.low,21.426345250103623,0.33243229100480676,0.48,1.5,21.913088875007816,25.59181041701231,4,8.168725833063945,29.594799333019182,3.0,0.3192337640017892,,,,,,,,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,1,Fri Dec 12 13:09:16 2025,1,reward.neut,9.457497457973659,,0.319,,9.78202699997928,13.010324249975383,6,14.01584545802325,66.82496258302126,0,,5.007361041032709,9.456821082974784,0.025921666990922576,3,"Miss!
$0.00",0,11.019957915996201,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,1,Fri Dec 12 13:09:30 2025,2,loss.neut,23.524075499968603,0.07680137502029538,0.319,,23.84782108303625,27.293395790969953,4,12.283301208051853,79.10855849995278,0,,19.023479791008867,23.52349770802539,,1,"Hit!
$0.00",0,25.298288749996573,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,1,Fri Dec 12 13:09:42 2025,3,loss.neut,35.45734045805875,,0.299,-0.0,35.76077000005171,39.3100426660385,2,10.003212915966287,89.11226304201409,0.0,,31.30731249996461,35.457078790990636,0.03643699986871751,3,"Miss!
-$0.00",0.0,37.315183541039005,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,1,Fri Dec 12 13:09:52 2025,4,loss.high,45.54129479103722,0.17122587491758168,0.319,-5.0,45.864203625009395,49.49043991602957,2,10.183170999982394,99.29594937502407,-5.0,,41.31101095804479,45.541102083050646,,2,"Miss!
-$5.00",-5.0,47.49820324999746,1.9549688328581274,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,1,Fri Dec 12 13:10:02 2025,5,loss.neut,55.64505833305884,,0.319,-0.0,55.97585083299782,59.494944958016276,2,10.0016389999073,109.2981332920026,-5.0,,51.49474291596562,55.64484937500674,0.005510082927670856,3,"Miss!
-$0.00",-5.0,57.495642250054516,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,1,Fri Dec 12 13:10:12 2025,6,reward.low,65.82446279097348,,0.319,,66.1593112910632,69.52355783304665,6,14.027202165918425,123.32552320801187,-5.0,,61.49653704103548,65.8240427080309,0.008329541961016096,3,"Miss!
$0.00",-5.0,67.52623116597533,,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
,,4567,1,1,Fri Dec 12 13:10:26 2025,7,reward.high,79.70741966599599,0.29071654099971056,0.319,,80.03025841596536,83.5772171659628,4,12.0662179159699,135.39223708305508,-5.0,,75.5242752500344,79.70691675005946,,2,"Miss!
$0.00",-5.0,81.57363137498032,2.0720674160466905,,4567,1,yes,no,no,0,1,2025-12-12_13h08.03.861,MID1.1,None,
