thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,trial.rt,trial.target_dur,trial.reward,Fix_after_target.OnsetTime,Fix_after_target.Duration,Fix_ITI.OnsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,MRT,Cue.OnsetTime,Cue.Duration,Dly.OnsetTime,Dly.Duration,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fb.Duration,trial.too_slow_rt,trial.too_fast_rt,trial.cue_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,45678,1,0,Fri Apr 17 11:42:32 2026,1,reward.low,5.011852499999804,0.2840836670002318,0.5,1.5,5.524959124999441,3.715916332999768,9.247053957999015,6,10.246406583002681,15.255941583000094,1.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:42:43 2026,2,reward.high,15.256801791001635,0.30116816599911544,0.5,5.0,15.762815375001082,3.6988318340008846,19.464207875000284,4,8.216061916002218,23.472543042000325,6.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:42:51 2026,3,loss.high,23.47325258300043,0.22977229100069962,0.5,,23.98551362500075,3.7702277089993004,27.75448579099975,4,8.294067292001273,31.767017624999426,6.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:42:59 2026,4,loss.neut,31.767746207999153,0.2354513339996629,0.5,,32.28278275000048,3.764548666000337,36.04910429099982,2,6.287669291999919,38.055167582999275,6.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:43:05 2026,5,reward.neut,38.05574245800017,0.29088579100061907,0.5,0.0,38.56786120800098,3.709114208999381,42.28134924999904,4,8.23660574999667,46.2921365000002,6.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:43:14 2026,6,loss.low,46.292838124998525,0.24628641600065748,0.5,,46.80444787500164,3.7537135839993425,50.565527999999176,2,6.274674500000401,52.56727037499877,6.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:43:20 2026,7,loss.high,52.56796245800069,0.25671820800198475,0.48,,53.060839165998914,3.7432817919980153,56.80803766600002,6,10.243518375002168,62.81124991699835,6.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:43:30 2026,8,loss.neut,62.81212062499981,0.22975687500002095,0.48,,63.30212487500103,3.770243124999979,67.08302712500154,6,10.279726875000051,73.09149783300018,6.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:43:40 2026,9,reward.high,73.09222650000083,0.2427920840018487,0.48,5.0,73.57754520800154,3.7572079159981513,77.33990724999967,6,10.250332999999955,83.34229491699807,11.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:43:51 2026,10,reward.neut,83.34290845799842,0.24654554199878476,0.48,0.0,83.82856658300079,3.7534544580012152,87.59040345800167,6,10.250091333000455,93.59278249999988,11.5,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:44:01 2026,11,reward.low,93.59343637499842,0.2639408329996513,0.48,1.5,94.08211120800115,3.7360591670003487,97.8174927910004,4,8.237622166001529,101.83082254200053,13.0,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:44:09 2026,12,reward.neut,101.8316015829987,0.28241937500206404,0.46,0.0,102.30406066599971,3.717580624997936,106.03012433299955,4,8.199223374998837,110.0304819999983,13.0,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:44:17 2026,13,loss.neut,110.03113466600189,0.27430024999921443,0.46,,110.50404741600141,3.7256997500007856,114.2390009160008,4,8.21136558299986,118.2422012499992,13.0,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:44:26 2026,14,loss.low,118.24283862499942,0.2272168329982378,0.48,,118.73874579100084,3.772783167001762,122.51483287500014,2,6.272410208999645,124.51502266699754,13.0,,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,0,Fri Apr 17 11:44:32 2026,15,loss.low,124.5157064160012,0.26218491599865956,0.46,,124.98394804100099,3.7378150840013404,128.73104404100013,6,10.217245583000476,134.73277541700008,13.0,0.25823483873343017,,,,,,,,,,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
,,45678,1,1,Fri Apr 17 11:45:06 2026,1,reward.neut,9.052375790997758,0.19658783300110372,0.258,0.0,9.325896040998487,1.7735206118625384,13.111239082998509,6,14.10043745800067,173.28355691699835,0.0,,5.013564416000008,2.0,7.015462707997358,2.029891555136358,1,"Hit!
$0.00",0.0,11.115906415998325,1.9775740829973074,,,,45678,1,yes,no,no,0,2,2026-04-17_11h42.07.069,MID1.1,None,
